iter	Passed	Remaining
0	59	59890
1	60	30122
2	60	20171
3	61	15201
4	61	12214
5	61	10243
6	62	8827
7	62	7760
8	62	6930
9	63	6261
10	63	5717
11	63	5264
12	64	4896
13	64	4564
14	65	4281
15	65	4028
16	65	3805
17	66	3608
18	66	3432
19	66	3275
20	67	3130
21	67	2998
22	67	2878
23	68	2768
24	68	2668
25	68	2576
26	69	2496
27	69	2418
28	69	2342
29	70	2279
30	70	2218
31	71	2160
32	71	2107
33	72	2055
34	72	2007
35	73	1958
36	73	1912
37	73	1872
38	74	1833
39	74	1794
40	75	1759
41	75	1722
42	75	1690
43	76	1659
44	76	1630
45	77	1599
46	77	1576
47	78	1547
48	78	1523
49	78	1500
50	79	1477
51	79	1454
52	80	1431
53	80	1411
54	80	1390
55	81	1369
56	81	1352
57	82	1332
58	82	1313
59	82	1295
60	83	1278
61	83	1261
62	83	1245
63	84	1231
64	84	1215
65	84	1200
66	85	1186
67	85	1170
68	85	1157
69	86	1145
70	86	1134
71	87	1122
72	87	1111
73	88	1103
74	88	1091
75	88	1079
76	89	1070
77	89	1060
78	90	1049
79	90	1038
80	90	1028
81	90	1018
82	91	1008
83	91	997
84	91	986
85	91	977
86	92	966
87	92	957
88	92	948
89	93	940
90	93	931
91	93	923
92	93	915
93	94	907
94	94	899
95	94	891
96	94	884
97	95	877
98	95	869
99	95	862
100	96	855
101	96	847
102	96	840
103	96	834
104	97	827
105	97	821
106	97	814
107	97	809
108	98	802
109	98	796
110	98	791
111	99	785
112	99	780
113	99	774
114	99	769
115	100	763
116	100	758
117	100	752
118	100	747
119	101	742
120	101	737
121	101	732
122	101	726
123	102	721
124	102	716
125	102	712
126	102	707
127	103	702
128	103	698
129	103	693
130	103	689
131	104	685
132	104	681
133	104	677
134	105	673
135	105	669
136	105	665
137	105	661
138	106	657
139	106	654
140	106	650
141	107	646
142	107	643
143	107	639
144	107	636
145	108	633
146	108	629
147	108	626
148	109	622
149	109	619
150	109	616
151	109	613
152	110	610
153	110	607
154	110	604
155	111	601
156	111	598
157	111	595
158	111	592
159	112	589
160	112	586
161	112	583
162	113	580
163	113	577
164	113	575
165	113	572
166	114	569
167	114	567
168	114	564
169	115	561
170	115	559
171	115	556
172	115	554
173	116	551
174	116	549
175	116	546
176	117	544
177	117	542
178	117	539
179	117	537
180	118	533
181	118	531
182	118	529
183	118	527
184	119	524
185	119	522
186	119	520
187	119	518
188	120	515
189	120	513
190	120	511
191	121	509
192	121	507
193	121	505
194	121	502
195	122	500
196	122	498
197	122	496
198	122	495
199	123	493
200	123	491
201	123	489
202	124	487
203	124	485
204	124	483
205	124	481
206	125	479
207	125	477
208	125	476
209	126	474
210	126	472
211	126	470
212	126	468
213	127	467
214	127	465
215	127	463
216	128	462
217	128	460
218	128	459
219	129	457
220	129	455
221	129	454
222	129	452
223	130	450
224	130	449
225	130	447
226	130	445
227	131	444
228	131	442
229	131	441
230	132	439
231	132	438
232	132	436
233	132	435
234	133	433
235	133	432
236	133	430
237	134	429
238	134	427
239	134	426
240	134	424
241	135	423
242	135	421
243	135	420
244	135	419
245	136	417
246	136	416
247	136	414
248	137	413
249	137	412
250	137	410
251	137	409
252	138	407
253	138	406
254	138	405
255	138	403
256	139	402
257	139	401
258	139	400
259	140	398
260	140	397
261	140	396
262	141	395
263	141	394
264	141	392
265	141	391
266	142	390
267	142	389
268	142	387
269	142	386
270	143	385
271	143	384
272	143	382
273	144	381
274	144	380
275	144	379
276	144	378
277	145	377
278	145	375
279	145	374
280	146	373
281	146	372
282	146	371
283	146	370
284	147	369
285	147	368
286	147	367
287	148	366
288	148	365
289	148	364
290	149	363
291	149	362
292	149	360
293	149	359
294	150	358
295	150	357
296	150	356
297	150	355
298	151	354
299	151	353
300	151	352
301	152	351
302	152	350
303	152	349
304	152	348
305	153	347
306	153	346
307	153	345
308	154	344
309	154	343
310	154	342
311	154	341
312	155	340
313	155	339
314	155	338
315	155	337
316	156	336
317	156	335
318	156	334
319	157	333
320	157	332
321	157	332
322	157	331
323	158	330
324	158	329
325	158	328
326	159	327
327	159	326
328	159	325
329	159	324
330	160	323
331	160	322
332	160	322
333	161	321
334	161	320
335	161	319
336	161	318
337	162	317
338	162	316
339	162	316
340	163	315
341	163	314
342	163	313
343	163	312
344	164	311
345	164	310
346	164	310
347	165	309
348	165	308
349	165	307
350	165	306
351	166	305
352	166	305
353	166	304
354	167	303
355	167	302
356	167	301
357	167	301
358	168	300
359	168	299
360	168	298
361	169	297
362	169	297
363	169	296
364	169	295
365	170	294
366	170	293
367	170	293
368	170	292
369	171	291
370	171	290
371	171	290
372	172	289
373	172	288
374	172	287
375	172	287
376	173	286
377	173	285
378	173	284
379	174	284
380	174	283
381	174	282
382	174	281
383	175	281
384	175	280
385	175	279
386	176	278
387	176	278
388	176	277
389	176	276
390	177	275
391	177	275
392	177	274
393	178	273
394	178	273
395	178	272
396	178	271
397	179	271
398	179	270
399	179	269
400	180	268
401	180	268
402	180	267
403	180	266
404	181	266
405	181	265
406	181	264
407	182	264
408	182	263
409	182	262
410	182	262
411	183	261
412	183	260
413	183	260
414	184	259
415	184	258
416	184	258
417	184	257
418	185	256
419	185	256
420	185	255
421	185	254
422	186	254
423	186	253
424	186	252
425	187	252
426	187	251
427	187	250
428	187	250
429	188	249
430	188	248
431	188	248
432	189	247
433	189	246
434	189	246
435	189	245
436	190	245
437	190	244
438	190	243
439	191	243
440	191	242
441	191	241
442	191	241
443	192	240
444	192	239
445	192	239
446	192	238
447	193	238
448	193	237
449	193	236
450	194	236
451	194	235
452	194	235
453	195	234
454	195	233
455	195	233
456	195	232
457	196	232
458	196	231
459	196	230
460	197	230
461	197	229
462	197	229
463	197	228
464	198	227
